"Account","Last Update","OwnerId","ItemId","ItemIdHex","Character Name","Location","Tab","Row","Column","WeenieId","Item Type","Bag Name","Quantity","Binding","Item Name","Description","Minimum Level","Hardness","Item Type","Proficiency","Weapon Type","Armor Type","Item Sub Type","EquipToFlags","Equips To","Plat Value","Gold Value","Silver Value","Copper Value","Bonus Set","Set Description"
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091569302043","030B0013B935FA1B","Darkmedley","Inventory","2","3","1","1879095858","Undef","","1","BoundToAccount","Long Lasting Elixir of Supreme Ability","This amazing elixir provides a +2 bonus to all of your character’s stats (ability scores) that stacks with all bonuses except those from the six ELIXIRS of animal ability (Bull's Might, Bear's Stamina, etc.).  (This does stack with the standard animal potions like Bull's Strength, Bear's Endurance, etc.)  This effect lasts for 60 minutes, lasts through death and rests, and cannot be dispelled.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091518846412","030B0013B63415CC","Darkmedley","Inventory","2","2","2","1879095797","Undef","","1","BoundToAccount","Siberys Spirit Cake","A colorful, fragrant, fluffy, semi-ethereal cake decorated with potent symbols of positive energy.  This cake can be eaten by ghosts and spirits as well as the living.  Once the cake is eaten, the person is imbued with the power to return someone to life.\n\nTo raise a fallen party member, use the cake from the shortcut bar after you target the ally you wish to raise.  \n\nNOTE: The target of this effect will be raised with 50 percent of their total hit points, so take care when using this item in an area that is filled with enemies.  This item cannot be used in raids or in public areas.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360926864","030B0013ACCA6C90","Darkmedley","Inventory","1","1","2","1879103702","Undef","","1","BoundToAccount","Lesser Heart of Wood","This naturally burnished piece of wood can be used in the Reincarnation Grove in the Hall of Heroes to start the process of Lesser Reincarnation.  The Hall can be found in the Marketplace or Eveningstar.\n\nLesser Reincarnation lets you alter your ability scores, feats, skills, and spell selection by re-leveling your character from level 1 back to your current level.\n\n<rgb=#00BFFF>Class Choices</rgb>\nBy default, you take the same character class at each level as before. +1 or higher Hearts of Wood allow you to alter that many class choices (e.g. a +3 Heart of Wood lets you make different class choices at 3 different levels).\n\n<rgb=#D5D505>Important Rules</rgb>\n - During the leveling process you can never have more than 3 current OR potential classes.  The classes you had before reincarnating remain as potential classes until changed and count toward your total allowed classes.\n(Due to this rule, many multiclass characters cannot change all of their classes in one reincarnation, even with a +20 Heart of Wood.)\n - You cannot change your name, race, gender, or alignment.\n - Your appearance will need to be recreated.\n - When using a '+0' heart of wood (like this one), you do NOT need to wait 3 days before Lesser Reincarnating again.\n\n<rgb=#00BFFF>Inventory and Spells</rgb>\n - Equipped items will be unequipped and put into inventory.\n - If inventory is full, items will go into backpack overflow.  (Clear out your inventory to ensure access to your gear.)\n - Wizards keep their spell books and do not change their spells.","0","0","129","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091465057845","030B0013B2FF5635","Darkmedley","Inventory","1","4","1","1879078088","Undef","","3","","Potions of Prowess +3","A small vial with an ounce of liquid within.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091367747575","030B0013AD327FF7","Darkmedley","Inventory","1","1","5","1879166292","Undef","","2","","Potions of Fire Shield (Warm)","This vial holds a red, shimmering fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092161953860","030B0013DC892044","Darkmedley","Inventory","2","1","4","1879159321","Undef","","1","","Potion of Greater Heroism (Level 20)","This vial holds a pale blue, misty fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091857758030","030B0013CA67774E","Darkmedley","Inventory","3","3","5","1879206769","Undef","","2","BoundToAccount","Mirrors of Glamering","Insert an item to make a cosmetic version of it.  \n\nThis consumes the Mirror.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091725759811","030B0013C2895543","Darkmedley","Inventory","3","1","5","1879246247","Undef","","1","","Potion of Rising Fury (Level 20)","This vial holds a pale blue, misty fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092091875566","030B0013D85BD0EE","Darkmedley","Inventory","1","2","5","1879097997","Undef","","1","BoundToAccount","Greater Experience Elixir","This shimmering prism-like bottle has a pair of small wings on the sides and contains an ounce of light blue liquid.\n\nCan only be used on yourself.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927184","030B0013ACCA6DD0","Darkmedley","Equipped","1","2","3","1879050032","Undef","","0","BoundToAccount","+3 Reinforced Chain Shirt of Negative Resistance","A chain shirt protects your torso while leaving your limbs free and mobile. It includes a layer of quilted fabric worn underneath to prevent chafing and to cushion the impact of blows. Several layers of mail are hung over vital areas.","9","9","Armor","","","Light","","8","Armor","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927185","030B0013ACCA6DD1","Darkmedley","Equipped","4","1","4","1879059945","Named","","0","BoundToCharacter","Phiarlan's Ring","A ring so old it predates the dragonmarked houses. It still carries the essence of song within.","5","2","Jewelry","","","","","96","First Finger,Second Finger","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927186","030B0013ACCA6DD2","Darkmedley","Equipped","103","2","3","1879069903","Named","","0","BoundToAccount","Black Wolfskin Belt","This belt is fashioned from the pelt of a dark wolf-like beast.","5","2","Clothing","","","","","2048","Waist","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927187","030B0013ACCA6DD3","Darkmedley","Equipped","205","4","1","1879069914","Named","","0","BoundToAccount","Krugg's Spiked Boots","These boots are fitted with dark metal spikes. They were once worn by Krug, war master of Splinterskull.","5","2","Clothing","","","","","4096","Feet","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927188","030B0013ACCA6DD4","Darkmedley","Equipped","1","1","4","1879093794","Named","","0","BoundToCharacter","Goggles of Shielding","Anyone who wears these goggles feels as if they are protected by an unseen force.","5","4","Jewelry","","","","","4","Eyes","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091481014236","030B0013B3F2CFDC","Darkmedley","Inventory","2","1","2","1879100093","Undef","","1","BoundToAccount","Rest of the Eladrin Statuette","A small statuette of an elf-like female eladrin.  When you gaze at this object, instead of seeing the stone statuette, you instead see the face of the benevolent celestial creature herself.  This object disappears after being used and cannot be used in raids or in public areas.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927189","030B0013ACCA6DD5","Darkmedley","Equipped","1","4","1","1879059097","Named","","0","BoundToCharacter","Cloak of Troll's Resistance","This cloak gives a limited ability to resist cold, electric, and sonic damage as a troll does.","5","2","Clothing","","","","","16","Cloak","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927190","030B0013ACCA6DD6","Darkmedley","Equipped","26","3","2","1879093790","Named","","0","BoundToCharacter","Necklace of Contemplation","This magical necklace gives the wearer a sense of calm, allowing them to concentrate more easily in battle, increasing his vitality, and his ability to hit slightly.","1","2","Jewelry","","","","","512","Neck","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927191","030B0013ACCA6DD7","Darkmedley","Equipped","52","1","4","1879070300","Named","","0","BoundToAccount","Rabbit Gloves","Luxurious gloves that keep out the cold and give their wearer a dose of good luck. Better luck than the rabbit's, you hope.","9","5","Clothing","","","","","1024","Hands","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927195","030B0013ACCA6DDB","Darkmedley","Equipped","2","3","2","1879058605","Named","","0","BoundToCharacter","Yaaryar's Magnificent Band","This magical ring, a trophy of battle, is magically enhanced.","3","2","Jewelry","","","","","96","First Finger,Second Finger","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927196","030B0013ACCA6DDC","Darkmedley","Equipped","1","1","2","1879069909","Named","","0","BoundToAccount","Yarkuch's Helm","This helm once belonged to Yarkuch, mighty warrior chief of Splinterskull.","5","2","Clothing","","","","","2","Head","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927197","030B0013ACCA6DDD","Darkmedley","Inventory","1","4","2","1879243390","Undef","","1","BoundToCharacter","Cleric, Lvl 10 Contract: Fayden Maeleth","As a follower of the Undying Court, Fayden’s abilities are sought after by many potential clients. (Elf Cleric 10) (Available Commands: Cure Critical Wounds, Flame Strike, Turn Undead, Raise Dead)\n\nOnce used, hireling contracts expire and vanish after 1 hour.  (This timer pauses while you are in public areas or logged out.)  If you dismiss hirelings you must wait 5 minutes before resummoning them. Unlike Gold Seal Hireling Contracts, regular contracts can only be used to summon hirelings at the entrance of a quest.","10","1000","Contract","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927198","030B0013ACCA6DDE","Darkmedley","Inventory","1","4","3","1879051595","Vendor","","100","","Bone Bits","Level 2 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927200","030B0013ACCA6DE0","Darkmedley","Inventory","1","4","4","1879051596","Vendor","","100","","Licorice Roots","Level 3 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360927201","030B0013ACCA6DE1","Darkmedley","Inventory","1","4","5","1879051597","Vendor","","100","","Small Hard Rods","Level 4 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091668277114","030B0013BF1C377A","Darkmedley","Inventory","2","4","5","1879095768","Undef","","4","BoundToAccount","Elixirs of Angels Tears","A small vial with an ounce of liquid within.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091699863266","030B0013C0FE2EE2","Darkmedley","Inventory","3","1","2","1879246248","Undef","","1","","Potion of Good Hope (Level 20)","This vial holds a pale blue, misty fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092295592305","030B0013E4804971","Darkmedley","Inventory","1","1","4","1879196724","Undef","","1","BoundToAccount","300 Experience Points","This mystical token stores the memories and life experiences of veteran adventurers. Claiming it will grant you 300 Experience Points. \nThis token may be passed to another character on your account through the Shared Bank.","0","10","Jewelry","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092295592306","030B0013E4804972","Darkmedley","Inventory","1","2","1","1879246246","Undef","","1","","Potion of Radiant Forcefield","This vial holds a pale blue, misty fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091581932001","030B0013B9F6B1E1","Darkmedley","Inventory","2","3","3","1879212689","Undef","","1","BoundToAccount","Long Lasting Potion of 10 Physical Resistance","Grants one hour of +10 Special bonus to Physical Resistance.\n\nThis effect lasts for 60 minutes, lasts through death and rests, and cannot be dispelled.\n\nA small vial with an ounce of liquid within.\n\nBound-to-Account","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091789746887","030B0013C659B2C7","Darkmedley","Inventory","3","2","5","1879143177","Undef","","1","BoundToAccount","Minor Experience Elixir","This shimmering prism-like bottle has a pair of small wings on the sides and contains an ounce of light blue liquid.\n\nCan only be used on yourself.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092352253214","030B0013E7E0DD1E","Darkmedley","Inventory","1","3","1","1879196720","Undef","","1","BoundToAccount","100 Experience Points","This mystical token stores the memories and life experiences of veteran adventurers. Claiming it will grant you 100 Experience Points. \nThis token may be passed to another character on your account through the Shared Bank.","0","10","Jewelry","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091435164343","030B0013B13732B7","Darkmedley","Inventory","1","3","3","1879246245","Undef","","3","","Potions of Stoneskin (Level 20)","A small vial with an ounce of sparkling blue liquid within.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091359287987","030B0013ACB16AB3","Darkmedley","Inventory","1","1","3","1879145364","Named","","0","BoundToAccount","+5 Starter Shortsword","The smallest of the swords, light enough to be used as an offhand weapon but too large to be considered a dagger. This appears to have an emblem that has been sanded off the hilt.","10","10","Weapon","Martial","Shortsword","","Shortsword","24576","Main Hand,Off Hand","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091360834307","030B0013ACC90303","Darkmedley","Inventory","1","1","1","1879051594","Vendor","","200","","Pork Rinds","Level 1 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092017020954","030B0013D3E5A01A","Darkmedley","Inventory","1","3","5","1879078077","Undef","","1","","Potion of Grace +3","A small vial with an ounce of liquid within.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091397771308","030B0013AEFCA02C","Darkmedley","Inventory","1","2","4","1879166293","Undef","","2","","Potions of Fire Shield (Cool)","This vial holds a blue, sparkling fluid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092121407660","030B0013DA1E70AC","Darkmedley","Inventory","1","3","4","1879214623","Undef","","6","","Bigby's Red Guiding Hands","Cast Bigby's Pointing Finger:\n\nCreates a glowing, pointing finger at the location of the caster, pointing in the direction the caster is facing. Marks the map with an X of the same color.\n\n(Once placed, lasts for an hour and cannot be moved or dismissed.)","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091384407320","030B0013AE30B518","Darkmedley","Inventory","1","2","2","1879163079","Undef","","1","","Potion of Death Ward","This vial holds a purple, swirling liquid.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091655146485","030B0013BE53DBF5","Darkmedley","Inventory","2","4","3","1879159265","Undef","","1","","Potion of Haste (Level 20)","A small vial with an ounce of sparkling blue liquid within.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269091505748564","030B0013B56C3A54","Darkmedley","Inventory","2","1","5","1879121143","Undef","","1","BoundToAccount","Lesser Slayer Count Boost","A small vial with an ounce of liquid within.  When used, this item boosts the count you get toward slayer quests in adventure areas by 50%.  With this effect, you get credit for one additional bonus kill for every two you make.\n\nThe effect lasts for 1 hour.  The timer for this effect pauses while you are in public areas or logged out and also pauses while you are in quests.","1","0","Potion","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","219269092325201071","030B0013E64414AF","Darkmedley","Inventory","1","2","3","1879196722","Undef","","1","BoundToAccount","200 Experience Points","This mystical token stores the memories and life experiences of veteran adventurers. Claiming it will grant you 200 Experience Points. \nThis token may be passed to another character on your account through the Shared Bank.","0","10","Jewelry","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:11:30 PM","0","147211412828179609","020B00000081CC99","Darkmedley","Inventory","0","0","0","2030045485","Undef","","16798","","Platinum","","0","0","","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091359287309","030B0013ACB1680D","Darkminstrel","Inventory","1","1","1","1879051594","Vendor","","200","","Pork Rinds","Level 1 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091359287467","030B0013ACB168AB","Darkminstrel","Inventory","1","1","3","1879145364","Named","","0","BoundToAccount","+5 Starter Shortsword","The smallest of the swords, light enough to be used as an offhand weapon but too large to be considered a dagger. This appears to have an emblem that has been sanded off the hilt.","10","10","Weapon","Martial","Shortsword","","Shortsword","24576","Main Hand,Off Hand","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360210807","030B0013ACBF7F77","Darkminstrel","Inventory","1","1","2","1879103702","Undef","","1","BoundToAccount","Lesser Heart of Wood","This naturally burnished piece of wood can be used in the Reincarnation Grove in the Hall of Heroes to start the process of Lesser Reincarnation.  The Hall can be found in the Marketplace or Eveningstar.\n\nLesser Reincarnation lets you alter your ability scores, feats, skills, and spell selection by re-leveling your character from level 1 back to your current level.\n\n<rgb=#00BFFF>Class Choices</rgb>\nBy default, you take the same character class at each level as before. +1 or higher Hearts of Wood allow you to alter that many class choices (e.g. a +3 Heart of Wood lets you make different class choices at 3 different levels).\n\n<rgb=#D5D505>Important Rules</rgb>\n - During the leveling process you can never have more than 3 current OR potential classes.  The classes you had before reincarnating remain as potential classes until changed and count toward your total allowed classes.\n(Due to this rule, many multiclass characters cannot change all of their classes in one reincarnation, even with a +20 Heart of Wood.)\n - You cannot change your name, race, gender, or alignment.\n - Your appearance will need to be recreated.\n - When using a '+0' heart of wood (like this one), you do NOT need to wait 3 days before Lesser Reincarnating again.\n\n<rgb=#00BFFF>Inventory and Spells</rgb>\n - Equipped items will be unequipped and put into inventory.\n - If inventory is full, items will go into backpack overflow.  (Clear out your inventory to ensure access to your gear.)\n - Wizards keep their spell books and do not change their spells.","0","0","129","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783667","030B0013ACC83D33","Darkminstrel","Equipped","1","2","3","1879086968","Undef","","0","BoundToAccount","+3 Resonating Chain Shirt of Negative Resistance","A chain shirt protects your torso while leaving your limbs free and mobile. It includes a layer of quilted fabric worn underneath to prevent chafing and to cushion the impact of blows. Several layers of mail are hung over vital areas.","9","9","Armor","","","Light","","8","Armor","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783668","030B0013ACC83D34","Darkminstrel","Equipped","2","3","2","1879059945","Named","","0","BoundToCharacter","Phiarlan's Ring","A ring so old it predates the dragonmarked houses. It still carries the essence of song within.","5","2","Jewelry","","","","","96","First Finger,Second Finger","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783669","030B0013ACC83D35","Darkminstrel","Equipped","103","2","3","1879069903","Named","","0","BoundToAccount","Black Wolfskin Belt","This belt is fashioned from the pelt of a dark wolf-like beast.","5","2","Clothing","","","","","2048","Waist","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783670","030B0013ACC83D36","Darkminstrel","Equipped","205","4","1","1879069914","Named","","0","BoundToAccount","Krugg's Spiked Boots","These boots are fitted with dark metal spikes. They were once worn by Krug, war master of Splinterskull.","5","2","Clothing","","","","","4096","Feet","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783671","030B0013ACC83D37","Darkminstrel","Equipped","1","1","4","1879093794","Named","","0","BoundToCharacter","Goggles of Shielding","Anyone who wears these goggles feels as if they are protected by an unseen force.","5","4","Jewelry","","","","","4","Eyes","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783672","030B0013ACC83D38","Darkminstrel","Equipped","1","4","1","1879059097","Named","","0","BoundToCharacter","Cloak of Troll's Resistance","This cloak gives a limited ability to resist cold, electric, and sonic damage as a troll does.","5","2","Clothing","","","","","16","Cloak","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783673","030B0013ACC83D39","Darkminstrel","Equipped","26","3","2","1879093790","Named","","0","BoundToCharacter","Necklace of Contemplation","This magical necklace gives the wearer a sense of calm, allowing them to concentrate more easily in battle, increasing his vitality, and his ability to hit slightly.","1","2","Jewelry","","","","","512","Neck","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783674","030B0013ACC83D3A","Darkminstrel","Equipped","52","1","4","1879070300","Named","","0","BoundToAccount","Rabbit Gloves","Luxurious gloves that keep out the cold and give their wearer a dose of good luck. Better luck than the rabbit's, you hope.","9","5","Clothing","","","","","1024","Hands","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783678","030B0013ACC83D3E","Darkminstrel","Equipped","4","1","4","1879058605","Named","","0","BoundToCharacter","Yaaryar's Magnificent Band","This magical ring, a trophy of battle, is magically enhanced.","3","2","Jewelry","","","","","96","First Finger,Second Finger","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783679","030B0013ACC83D3F","Darkminstrel","Equipped","1","1","2","1879069909","Named","","0","BoundToAccount","Yarkuch's Helm","This helm once belonged to Yarkuch, mighty warrior chief of Splinterskull.","5","2","Clothing","","","","","2","Head","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783680","030B0013ACC83D40","Darkminstrel","Inventory","1","4","2","1879243390","Undef","","1","BoundToCharacter","Cleric, Lvl 10 Contract: Fayden Maeleth","As a follower of the Undying Court, Fayden’s abilities are sought after by many potential clients. (Elf Cleric 10) (Available Commands: Cure Critical Wounds, Flame Strike, Turn Undead, Raise Dead)\n\nOnce used, hireling contracts expire and vanish after 1 hour.  (This timer pauses while you are in public areas or logged out.)  If you dismiss hirelings you must wait 5 minutes before resummoning them. Unlike Gold Seal Hireling Contracts, regular contracts can only be used to summon hirelings at the entrance of a quest.","10","1000","Contract","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783681","030B0013ACC83D41","Darkminstrel","Inventory","1","4","3","1879051595","Vendor","","100","","Bone Bits","Level 2 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783683","030B0013ACC83D43","Darkminstrel","Inventory","1","4","4","1879051596","Vendor","","100","","Licorice Roots","Level 3 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"BlackRoc2000","2/8/2022 7:12:09 PM","0","219269091360783684","030B0013ACC83D44","Darkminstrel","Inventory","1","4","5","1879051597","Vendor","","100","","Small Hard Rods","Level 4 Bard Material Component","0","5","Component","","","","","0","","0","0","0","0","",""
"WhiteRoc","2/8/2022 7:12:45 PM","0","219269092296366356","030B0013E48C1914","Darketerity","Inventory","1","1","3","1879196730","Undef","","1","BoundToAccount","400 Experience Points","This mystical token stores the memories and life experiences of veteran adventurers. Claiming it will grant you 400 Experience Points. \nThis token may be passed to another character on your account through the Shared Bank.","0","10","Jewelry","","","","","0","","0","0","0","0","",""
